date,invoice,vendor,category,amount_eur
2026-04-01,INV-2303,Vertex Tools,Equipment,615.25
2026-04-01,INV-2606,CloudPeak Hosting,Software & IT,343.39
2026-04-02,INV-2337,KontorClean AS,Facilities,577.37
2026-04-02,INV-2397,Lindström Office,Office supplies,520.29
2026-04-02,INV-2423,Aurora Marketing,Advertising,903.88
2026-04-02,INV-2434,PaperTrail Print,Printing,139.84
2026-04-02,INV-2542,Baltic Catering,Meals & events,339.20
2026-04-02,INV-2567,PaperTrail Print,Printing,261.89
2026-04-03,INV-2400,PaperTrail Print,Printing,73.60
2026-04-03,INV-2507,PaperTrail Print,Printing,213.24
2026-04-03,INV-2523,CloudPeak Hosting,Software & IT,327.08
2026-04-03,INV-2527,NordFleet Fuel,Vehicle costs,542.21
2026-04-03,INV-2574,PaperTrail Print,Printing,225.53
2026-04-03,INV-2627,CloudPeak Hosting,Software & IT,267.26
2026-04-03,INV-2669,Baltic Catering,Meals & events,308.53
2026-04-04,INV-2477,KontorClean AS,Facilities,477.02
2026-04-04,INV-2512,KontorClean AS,Facilities,155.60
2026-04-04,INV-2625,CloudPeak Hosting,Software & IT,440.71
2026-04-04,INV-2722,Aurora Marketing,Advertising,816.64
2026-04-05,INV-2300,NordFleet Fuel,Vehicle costs,682.90
2026-04-05,INV-2414,Vertex Tools,Equipment,766.83
2026-04-05,INV-2504,Fjord Logistics,Shipping,418.20
2026-04-05,INV-2791,Vertex Tools,Equipment,432.31
2026-04-06,INV-2401,PaperTrail Print,Printing,322.94
2026-04-06,INV-2412,Aurora Marketing,Advertising,1394.96
2026-04-06,INV-2544,CloudPeak Hosting,Software & IT,126.45
2026-04-06,INV-2595,KontorClean AS,Facilities,171.86
2026-04-06,INV-2605,PaperTrail Print,Printing,248.02
2026-04-06,INV-2632,KontorClean AS,Facilities,393.99
2026-04-07,INV-2491,SafeDesk Insurance,Insurance,463.46
2026-04-07,INV-2524,CloudPeak Hosting,Software & IT,439.18
2026-04-07,INV-2674,SafeDesk Insurance,Insurance,740.89
2026-04-07,INV-2773,KontorClean AS,Facilities,311.32
2026-04-07,INV-2875,SafeDesk Insurance,Insurance,812.42
2026-04-07,INV-2876,NordFleet Fuel,Vehicle costs,856.78
2026-04-08,INV-2377,Lindström Office,Office supplies,851.11
2026-04-08,INV-2473,Baltic Catering,Meals & events,248.70
2026-04-08,INV-2569,Aurora Marketing,Advertising,421.99
2026-04-08,INV-2783,CloudPeak Hosting,Software & IT,298.94
2026-04-09,INV-2320,Fjord Logistics,Shipping,217.93
2026-04-09,INV-2361,NordFleet Fuel,Vehicle costs,398.20
2026-04-09,INV-2742,SafeDesk Insurance,Insurance,466.92
2026-04-10,INV-2332,SafeDesk Insurance,Insurance,490.88
2026-04-10,INV-2351,Vertex Tools,Equipment,451.32
2026-04-10,INV-2353,Vertex Tools,Equipment,1007.31
2026-04-10,INV-2458,Vertex Tools,Equipment,526.57
2026-04-10,INV-2493,Fjord Logistics,Shipping,427.00
2026-04-10,INV-2756,Fjord Logistics,Shipping,293.92
2026-04-10,INV-2814,Baltic Catering,Meals & events,526.79
2026-04-10,INV-2853,Fjord Logistics,Shipping,460.25
2026-04-11,INV-2366,Vertex Tools,Equipment,554.27
2026-04-11,INV-2455,KontorClean AS,Facilities,459.64
2026-04-11,INV-2545,KontorClean AS,Facilities,446.82
2026-04-11,INV-2768,Baltic Catering,Meals & events,270.43
2026-04-12,INV-2343,SafeDesk Insurance,Insurance,272.53
2026-04-12,INV-2553,KontorClean AS,Facilities,403.04
2026-04-12,INV-2759,Fjord Logistics,Shipping,484.97
2026-04-12,INV-2785,CloudPeak Hosting,Software & IT,350.27
2026-04-12,INV-2827,Aurora Marketing,Advertising,774.38
2026-04-13,INV-2309,NordFleet Fuel,Vehicle costs,379.14
2026-04-13,INV-2662,KontorClean AS,Facilities,434.76
2026-04-13,INV-2689,NordFleet Fuel,Vehicle costs,758.69
2026-04-13,INV-2703,Lindström Office,Office supplies,1064.87
2026-04-13,INV-2728,Fjord Logistics,Shipping,374.72
2026-04-14,INV-2359,NordFleet Fuel,Vehicle costs,613.55
2026-04-14,INV-2686,Aurora Marketing,Advertising,603.20
2026-04-14,INV-2690,Aurora Marketing,Advertising,1229.65
2026-04-14,INV-2391,Lindström Office,Office supplies,1287.50
2026-04-15,INV-2420,Lindström Office,Office supplies,867.47
2026-04-15,INV-2444,Lindström Office,Office supplies,1107.51
2026-04-15,INV-2750,KontorClean AS,Facilities,507.37
2026-04-15,INV-2784,PaperTrail Print,Printing,280.43
2026-04-16,INV-2336,Fjord Logistics,Shipping,266.59
2026-04-16,INV-2418,Lindström Office,Office supplies,1237.69
2026-04-16,INV-2547,Aurora Marketing,Advertising,939.62
2026-04-16,INV-2575,Vertex Tools,Equipment,572.22
2026-04-16,INV-2638,Fjord Logistics,Shipping,398.59
2026-04-16,INV-2650,Aurora Marketing,Advertising,352.68
2026-04-16,INV-2668,Baltic Catering,Meals & events,493.25
2026-04-16,INV-2801,NordFleet Fuel,Vehicle costs,762.82
2026-04-16,INV-2844,Vertex Tools,Equipment,145.40
2026-04-17,INV-2380,Aurora Marketing,Advertising,1515.31
2026-04-17,INV-2550,KontorClean AS,Facilities,339.66
2026-04-17,INV-2849,Vertex Tools,Equipment,253.01
2026-04-18,INV-2402,Aurora Marketing,Advertising,210.65
2026-04-18,INV-2671,Lindström Office,Office supplies,1059.07
2026-04-18,INV-2839,Lindström Office,Office supplies,168.75
2026-04-18,INV-2859,PaperTrail Print,Printing,246.12
2026-04-19,INV-2301,Vertex Tools,Equipment,841.74
2026-04-19,INV-2392,NordFleet Fuel,Vehicle costs,282.15
2026-04-19,INV-2447,KontorClean AS,Facilities,502.69
2026-04-19,INV-2652,PaperTrail Print,Printing,169.08
2026-04-20,INV-2440,Vertex Tools,Equipment,143.94
2026-04-20,INV-2548,CloudPeak Hosting,Software & IT,59.06
2026-04-20,INV-2598,Lindström Office,Office supplies,621.17
2026-04-20,INV-2666,Fjord Logistics,Shipping,640.43
2026-04-20,INV-2667,CloudPeak Hosting,Software & IT,444.75
